#TAG,NAME IN REPO (or git url),Description
,xorg-server, Xorg X server
,xorg-xwininfo, Command-line utility to print information about windows on an X server
,xorg-xinit, Xorg initialisation program
,polkit, Application development toolkit for controlling system-wide privileges
,ttf-linux-libertine, Serif and Sans Serif OpenType fonts with large Unicode coverage
,ttf-font-awesome, Iconic fonts
A,lf-git, A terminal file manager inspired by ranger
,ueberzug, Command line util which allows to display images in combination with X11
,bc, An arbitrary precision calculator language
,xcompmgr, Composite Window-effects manager for X.org
,xorg-xprop, Property displayer for X
,arandr, Provide a simple visual front end for XRandR 1.2.
,dosfstools, DOS filesystem utilities
,libnotify, Library for sending desktop notifications
,dunst, Customizable and lightweight notification-daemon
,exfat-utils, Utilities for exFAT file system
,nsxiv, Neo (or New or Not) Simple (or Small or Suckless) X Image Viewer
,xwallpaper, Wallpaper setting utility for X
,ffmpeg, Complete solution to record convert and stream audio and video
,ffmpegthumbnailer, Lightweight video thumbnailer that can be used by file managers
,gnome-keyring, Stores passwords and encryption keys
,python-qdarkstyle, Dark style sheet for QtWidgets application
,mpd, Flexible powerful server-side application for playing music
,mpc, Minimalist command line interface to MPD
,mpv, a free open source and cross-platform media player
,ncmpcpp, a terminal music player insterface that uses ncurses
,newsboat, Terminal RSS feed reader
A,librewolf-bin, Community-maintained fork of Firefox focused on privacy security and freedom
,noto-fonts, Google Noto TTF fonts
,noto-fonts-emoji, Google Noto emoji fonts
,ntfs-3g, NTFS filesystem driver and utilities
,wireplumber, Session and policy manager implementation for PipeWire
,pipewire-pulse, Low-latency audio/video router and processor - PulseAudio replacement
,pulsemixer, CLI and curses mixer for pulseaudio
A,sc-im, A spreadsheet program based on SC
,maim, Utility to take a screenshot using imlib2
A,abook, Text-based addressbook designed for use with Mutt
,unclutter, A small program for hiding the mouse cursor
,unzip, For extracting and viewing files in .zip archives
,xcape, Configure modifier keys to act as other keys when pressed and released on their own
,xclip, Command line interface to the X11 clipboard
,xdotool, Command-line X11 automation tool
,yt-dlp, A youtube-dl fork with additional features and fixes
,zathura, Minimalistic document viewer
,zathura-pdf-mupdf, PDF support for Zathura MuPDF backend Supports PDF ePub and OpenXPS
,poppler, PDF rendering library based on xpdf 3.0
,mediainfo, Supplies technical and tag information about a video or audio file CLI interface
,atool, A script for managing file archives of various types
,fzf, Command-line fuzzy finder
,bat, Cat clone with syntax highlighting and git integration
,xorg-xbacklight, RandR-based backlight control application
A,task-spooler, task-spooler
A,simple-mtpfs, A FUSE filesystem that supports reading/writing from MTP devices
G,https://github.com/NicholasasaurusRex/dwmblocks.git, My build of dwmblocks
G,https://github.com/NicholasasaurusRex/dmenu.git, My build of dmenu
G,https://github.com/NicholasasaurusRex/st.git, My build of st
G,https://github.com/NicholasasaurusRex/dwm.git, My build of dwm
,slock, A simple screen locker for X
,moreutils, A growing collection of the unix tools that nobody thought to write thirty years ago
,adobe-source-code-pro-fonts, Monospaced font family for user interface and coding environments
,awesome-terminal-fonts, fonts/icons for powerlines
,btop, A monitor of system resources bpytop ported to C++
,calcurse, A text-based personal organizer
,cronie, Daemon that runs specified programs at scheduled times and related tools
,dictd, Online dictionary client and server
,gimp, GNU Image Manipulation Program
